iter	RMSE
0	88429449.19
1	70109793.72
2	60459228.61
3	54984653.84
4	47899963.24
5	43529748.17
6	39486443.59
7	37729214.48
8	34082882.19
9	29731584.12
10	27648625.05
11	25442819.12
12	23762623.32
13	21950418.58
14	19971032.22
15	19092620.73
16	17475735.62
17	16131411.19
18	15248703.17
19	14329435.3
20	13305193.93
21	12723800.55
22	12146046.61
23	12004867.14
24	11516197.55
25	11344338.69
26	10304702.43
27	10192110
28	9559062.294
29	9193020.264
30	8567677.291
31	8441168.707
32	8144873.302
33	7784150.472
34	7558160.076
35	7316387.42
36	7078877.157
37	6713076.894
38	6144368.77
39	5740793.206
40	5649453.629
41	5404080.379
42	5210236.177
43	4950588.441
44	4768580.201
45	4466052.766
46	4233979.252
47	4149853.454
48	4017492.842
49	3866327.135
50	3594678.906
51	3505513.634
52	3385760.96
53	3211738.583
54	3050612.583
55	2925166.588
56	2825762.099
57	2666114.85
58	2506830.139
59	2378657.102
60	2230600.603
61	2130516.591
62	2005087.807
63	1915266.373
64	1832557.488
65	1736239.899
66	1697724.48
67	1636543.933
68	1569573.351
69	1498215.425
70	1469038.139
71	1394234.751
72	1333176.281
73	1264545.617
74	1198752.345
75	1153983.041
76	1098553.726
77	1046512.966
78	1025133.855
79	979686.9079
80	949583.8189
81	920535.6091
82	877468.3996
83	844989.6912
84	802368.2841
85	767632.994
86	718588.7947
87	700964.8981
88	688140.1326
89	665631.6336
90	657384.4512
91	626207.2793
92	601349.4058
93	577958.6357
94	556995.7509
95	545991.764
96	526394.3159
97	513823.3219
98	500312.0568
99	487700.9625
