iter	Passed	Remaining
0	613	60687
1	1057	51802
2	1499	48471
3	1936	46479
4	2369	45028
5	2794	43784
6	3231	42930
7	3700	42561
8	4161	42077
9	4621	41591
10	5057	40923
11	5496	40310
12	5902	39500
13	6339	38942
14	6761	38315
15	7192	37758
16	7632	37266
17	8062	36730
18	8498	36229
19	8909	35638
20	9341	35141
21	9764	34619
22	10198	34142
23	10305	32634
24	10722	32166
25	11162	31770
26	11615	31406
27	12042	30967
28	12479	30554
29	12891	30079
30	13321	29652
31	13749	29218
32	14182	28794
33	14618	28376
34	15043	27937
35	15485	27530
36	15891	27058
37	16321	26630
38	16742	26187
39	17172	25759
40	17608	25339
41	18042	24916
42	18474	24489
43	18889	24040
44	19360	23663
45	19818	23265
46	20268	22856
47	20687	22411
48	21122	21984
49	21560	21560
50	21988	21126
51	22423	20698
52	22851	20264
53	23288	19838
54	23700	19391
55	24135	18963
56	24557	18525
57	25003	18106
58	25439	17678
59	25868	17245
60	26309	16820
61	26738	16388
62	27174	15959
63	27588	15518
64	28035	15096
65	28457	14659
66	28567	14070
67	28674	13493
68	29096	13072
69	29523	12653
70	29961	12237
71	30393	11819
72	30827	11402
73	31253	10980
74	31682	10560
75	32104	10138
76	32539	9719
77	32984	9303
78	33441	8889
79	33900	8475
80	34356	8059
81	34871	7654
82	35383	7247
83	35881	6834
84	36349	6414
85	36815	5993
86	37301	5573
87	37772	5150
88	38213	4722
89	38675	4297
90	39128	3869
91	39595	3443
92	40104	3018
93	40585	2590
94	41168	2166
95	41653	1735
96	42133	1303
97	42615	869
98	43143	435
99	43708	0
