iter	Logloss
0	0.6477780125
1	0.6092028313
2	0.5751936562
3	0.5473941472
4	0.523630619
5	0.5016935738
6	0.4822705224
7	0.4674922197
8	0.4542585108
9	0.4429460986
10	0.4324644024
11	0.4251543519
12	0.4183073573
13	0.4112239553
14	0.4053905892
15	0.4003301914
16	0.3962443864
17	0.3922431437
18	0.3881960162
19	0.3847044751
20	0.3816380286
21	0.378942152
22	0.3761363311
23	0.3736406465
24	0.3720602626
25	0.3701845374
26	0.3687200966
27	0.3671246267
28	0.3655282167
29	0.3642171877
30	0.362901324
31	0.3614052114
32	0.3603009549
33	0.359229534
34	0.3584008996
35	0.3575440628
36	0.356538537
37	0.3556338233
38	0.354549689
39	0.3538375124
40	0.3532393986
41	0.3522479963
42	0.3517405777
43	0.3511525362
44	0.3507138777
45	0.3501159206
46	0.3495373023
47	0.3491033889
48	0.3487220976
49	0.3479901793
50	0.3476811845
51	0.3472661174
52	0.3469300394
53	0.3463282101
54	0.3460113141
55	0.3455604569
56	0.3452649141
57	0.3449352823
58	0.3444030412
59	0.3442391766
60	0.3439245636
61	0.3435400491
62	0.3434866885
63	0.3432163935
64	0.3430109192
65	0.3427799509
66	0.34249504
67	0.3424206842
68	0.3422287739
69	0.3420987297
70	0.3416929292
71	0.3416175886
72	0.3414837841
73	0.3414797552
74	0.3413244856
75	0.3411017093
76	0.3409716651
77	0.3409471783
78	0.3407990264
79	0.3406299914
80	0.3403255178
81	0.3403089098
82	0.339995707
83	0.3397939258
84	0.3394388671
85	0.3393853274
86	0.3393712934
87	0.3392172996
88	0.339202706
89	0.3391072656
90	0.3391059003
91	0.3390200398
92	0.338847983
93	0.3387499687
94	0.3387410155
95	0.3387292198
96	0.3384262459
97	0.3382362381
98	0.338222607
99	0.3382097145
100	0.3380845945
101	0.3377812625
102	0.3377717051
103	0.3377672509
104	0.3376872099
105	0.3376766005
106	0.3376335807
107	0.3375374241
108	0.3375283367
109	0.3375276204
110	0.3373891155
111	0.3373403657
112	0.337334009
113	0.3372258328
114	0.3372219606
115	0.3371809776
116	0.3371765682
117	0.3371709725
118	0.3369647372
119	0.3368313132
120	0.336713781
121	0.3366196612
122	0.3366191241
123	0.3366152966
124	0.3364310636
125	0.3364243487
126	0.3364238339
127	0.3363624826
128	0.3361889486
129	0.3361884562
130	0.3361879638
131	0.3361784287
132	0.3361563816
133	0.3361076094
134	0.3360949408
135	0.3360918296
136	0.3360878678
137	0.3359663515
138	0.3359603752
139	0.3358751638
140	0.3358712692
141	0.3358666808
142	0.3358652483
143	0.3358646663
144	0.3357431052
145	0.3356364287
146	0.3356361377
147	0.335567691
148	0.3355624311
149	0.3355599242
150	0.3354793236
151	0.335473616
152	0.335471333
153	0.3354687813
154	0.3352448636
155	0.335130465
156	0.3351290101
157	0.3351261451
158	0.3350240347
159	0.3349719946
160	0.3349103076
161	0.3349056967
162	0.3348593643
163	0.3348567678
164	0.3348543281
165	0.3347476068
166	0.3346063712
167	0.3346048268
168	0.3345699096
169	0.3344611515
170	0.3344598533
171	0.3343502446
172	0.3343474691
173	0.3343460814
174	0.3342201556
175	0.3342199766
176	0.334190297
177	0.3341895359
178	0.3341887525
179	0.3341886406
180	0.334152179
181	0.3341520671
182	0.3341512389
183	0.3340959757
184	0.3340362808
185	0.3339739894
186	0.333970811
187	0.3338617171
188	0.3337985081
189	0.3337808032
190	0.3337792588
191	0.3337763491
192	0.3337744465
193	0.3337727007
194	0.3337722082
195	0.3336853181
196	0.3336849152
197	0.3336296297
198	0.3336283315
199	0.3336280181
200	0.3336266975
201	0.3335651448
202	0.3334971234
203	0.3334968548
204	0.3333505383
205	0.3333502473
206	0.3333498892
207	0.3332594849
208	0.333259194
209	0.333186987
210	0.3331869422
211	0.3331866736
212	0.333186405
213	0.3331852859
214	0.3331850621
215	0.3330922629
216	0.3329770585
217	0.3329770137
218	0.3328987858
219	0.3328986962
220	0.3328431197
221	0.3328428735
222	0.3327564758
223	0.3327565206
224	0.3326360338
225	0.3326359219
226	0.3326348252
227	0.3326345566
228	0.3326334822
229	0.3326334598
230	0.3326333927
231	0.3325427422
232	0.3325422722
233	0.3325409292
234	0.3325402577
235	0.3325263356
236	0.332440587
237	0.3324402961
238	0.332439356
239	0.3324385278
240	0.3324384383
241	0.3324375877
242	0.3324374982
243	0.3324366029
244	0.33243573
245	0.3324141753
246	0.3324132576
247	0.3324030287
248	0.3324029839
249	0.332290555
250	0.3322903535
251	0.3322895701
252	0.332287981
253	0.3322872199
254	0.3322843102
255	0.3322146548
256	0.3321259741
257	0.3321245416
258	0.3321244073
259	0.3320141271
260	0.3320128289
261	0.3320126946
262	0.3320121798
263	0.3320109935
264	0.3319308407
265	0.331929632
266	0.3319295648
267	0.3319294529
268	0.3319293634
269	0.3319292515
270	0.3319288486
271	0.3319277742
272	0.3319181944
273	0.3319181272
274	0.3318653485
275	0.3318644532
276	0.3318643413
277	0.3318642742
278	0.3318641399
279	0.3318003712
280	0.331800416
281	0.3316912549
282	0.3316733487
283	0.3316710656
284	0.331656763
285	0.3316566287
286	0.3315824968
287	0.3315633371
288	0.3315023663
289	0.3314850868
290	0.3313634809
291	0.331354953
292	0.3312969368
293	0.3312969592
294	0.3312680182
295	0.3312679958
296	0.3312679286
297	0.3312678839
298	0.3312678167
299	0.3310781671
300	0.3309784292
301	0.3309457503
302	0.3309439821
303	0.3308924344
304	0.3308362312
305	0.3308361864
306	0.3307345684
307	0.3306055762
308	0.3305324067
309	0.330516985
310	0.3305165597
311	0.3305149481
312	0.3305136723
313	0.3305088824
314	0.3305032419
315	0.3305031748
316	0.3304816873
317	0.3303904101
318	0.3303896267
319	0.3303875899
320	0.3303863812
321	0.3303062731
322	0.3303045496
323	0.3303042363
324	0.3303039677
325	0.3302513904
326	0.3302506742
327	0.3302121757
328	0.3302111237
329	0.3302101389
330	0.3301647018
331	0.3301338582
332	0.3300810571
333	0.3299595408
334	0.3298848717
335	0.329838696
336	0.3298361443
337	0.3298354057
338	0.3298353609
339	0.3297094575
340	0.3297092113
341	0.3297090323
342	0.3297089875
343	0.329704399
344	0.3297042424
345	0.3296437416
346	0.3296436744
347	0.3296436073
348	0.3296429134
349	0.3296422419
350	0.3296421972
351	0.3296359971
352	0.3295668342
353	0.3295667671
354	0.3295253588
355	0.3295252917
356	0.3295252469
357	0.3295209047
358	0.3295185768
359	0.3295184873
360	0.3295184425
361	0.3295183754
362	0.3295183306
363	0.3295178158
364	0.3295137422
365	0.3295102057
366	0.3295101609
367	0.3294993948
368	0.3294956792
369	0.329495724
370	0.3294956568
371	0.3294600682
372	0.3294600234
373	0.3294599786
374	0.329442811
375	0.3294427662
376	0.329440998
377	0.3294225545
378	0.3294086996
379	0.3294011789
380	0.3294011342
381	0.3294011118
382	0.329370604
383	0.3292399107
384	0.3292399107
385	0.3292311143
386	0.3292279359
387	0.3291690691
388	0.329156199
389	0.329156199
390	0.3291530878
391	0.3291502451
392	0.3290883566
393	0.3290883119
394	0.3290494553
395	0.3290481123
396	0.3290480899
397	0.3290283483
398	0.3290283707
399	0.3290283483
400	0.3290266248
401	0.3288938052
402	0.3288911192
403	0.3288837776
404	0.3288812484
405	0.3288812484
406	0.3288812484
407	0.3288812036
408	0.3288386986
409	0.3288363484
410	0.3288363037
411	0.3288362813
412	0.3288362365
413	0.3288343788
414	0.3287157274
415	0.3287156827
416	0.3287156603
417	0.3287156603
418	0.3287134891
419	0.3287134444
420	0.3287113628
421	0.3287047375
422	0.3286362684
423	0.3285366649
424	0.3285365753
425	0.3285362843
426	0.32853615
427	0.3285342475
428	0.3285342475
429	0.3285342027
430	0.3284747092
431	0.3284747316
432	0.3284552809
433	0.3284552361
434	0.3284552138
435	0.3284552138
436	0.3284533784
437	0.3284516101
438	0.3284501552
439	0.3284110301
440	0.3284076279
441	0.3284076279
442	0.3284075607
443	0.3284051658
444	0.3284051434
445	0.3283080915
446	0.328277136
447	0.32825012
448	0.3282500976
449	0.3282500976
450	0.3282500752
451	0.3281813376
452	0.3281799274
453	0.3281771296
454	0.3281757642
455	0.3281756971
456	0.3281165617
457	0.3281151068
458	0.3281140996
459	0.3281129804
460	0.328112958
461	0.328112958
462	0.3281075638
463	0.3280972229
464	0.3280972005
465	0.3280971782
466	0.3280960366
467	0.3280960142
468	0.3280362297
469	0.3279608892
470	0.3279591657
471	0.3279591657
472	0.3279441692
473	0.3279432291
474	0.3279423786
475	0.3279414832
476	0.3279365143
477	0.3279354623
478	0.3279352161
479	0.3279351713
480	0.3279351937
481	0.3279351489
482	0.3279351713
483	0.3279342312
484	0.3279341864
485	0.3279342088
486	0.3279334478
487	0.3278767521
488	0.3278767521
489	0.3277988375
490	0.3277476704
491	0.3277297418
492	0.327729697
493	0.3277296298
494	0.3277296075
495	0.3277295851
496	0.3277288017
497	0.3277288241
498	0.3277288017
499	0.3277217511
500	0.327721102
501	0.3277204529
502	0.32770286
503	0.3277028376
504	0.3277018751
505	0.3277008008
506	0.327700756
507	0.3276999726
508	0.3276505066
509	0.327650529
510	0.3275839848
511	0.3274937373
512	0.3274937149
513	0.3274937149
514	0.3274906261
515	0.3274906037
516	0.3274905813
517	0.3274905813
518	0.3274903799
519	0.3274903575
520	0.3274742195
521	0.3274742195
522	0.3274742195
523	0.3274742418
524	0.3274653559
525	0.3274653783
526	0.3274653335
527	0.3274653111
528	0.3273720419
529	0.3273694902
530	0.3272925157
531	0.3272925157
532	0.3272919114
533	0.3272919338
534	0.3272901431
535	0.3272884197
536	0.3272878825
537	0.3272877929
538	0.3272878377
539	0.3272854428
540	0.3272854428
541	0.3272855099
542	0.3272854651
543	0.3272829806
544	0.3272829806
545	0.3272829359
546	0.3271774009
547	0.3271769532
548	0.3271750059
549	0.3271745359
550	0.3271740658
551	0.3271444534
552	0.327144431
553	0.3271054849
554	0.3271037838
555	0.3270902198
556	0.327089414
557	0.3270894364
558	0.3270864147
559	0.3270847808
560	0.3270217955
561	0.3270192439
562	0.3270176547
563	0.3270127752
564	0.3269435452
565	0.3269435228
566	0.3269429632
567	0.3269409487
568	0.3269396729
569	0.3269384419
570	0.326926288
571	0.3269105753
572	0.3269100828
573	0.326906703
574	0.3269019803
575	0.3269019803
576	0.3268954669
577	0.3268954445
578	0.3268937434
579	0.3268299747
580	0.3268299076
581	0.3267505605
582	0.326741473
583	0.3267414507
584	0.3267414283
585	0.32673966
586	0.3267385185
587	0.3267371308
588	0.3267333928
589	0.3267300354
590	0.3267283343
591	0.3267244173
592	0.3267209032
593	0.326720948
594	0.3267152404
595	0.3266598205
596	0.3265319922
597	0.3264883905
598	0.3264864208
599	0.3264831081
600	0.3264813623
601	0.3264799522
602	0.326430128
603	0.326428785
604	0.326428785
605	0.3264233012
606	0.3264220254
607	0.3264219359
608	0.3264171907
609	0.3264160044
610	0.3263988816
611	0.3263972029
612	0.3263923234
613	0.3263632929
614	0.3263592864
615	0.3263554141
616	0.3262986065
617	0.326239113
618	0.3262380834
619	0.3262352855
620	0.3262343455
621	0.3262321967
622	0.3262316371
623	0.3262309209
624	0.3262304061
625	0.3262303389
626	0.3262295555
627	0.3262287274
628	0.3261796195
629	0.3261787241
630	0.3261700396
631	0.3261691667
632	0.3261474106
633	0.3261466719
634	0.326140651
635	0.326127266
636	0.3261272437
637	0.3261263931
638	0.3261261469
639	0.326113232
640	0.3261108147
641	0.3261086883
642	0.3261086659
643	0.326108084
644	0.3261079944
645	0.3260732115
646	0.3260720924
647	0.3260209029
648	0.3260207462
649	0.3260207462
650	0.3259902608
651	0.3259888059
652	0.3259883135
653	0.3259857395
654	0.3259534858
655	0.3259520309
656	0.3259515385
657	0.3259501955
658	0.3259491659
659	0.3258612686
660	0.3258590079
661	0.3257507422
662	0.3257351638
663	0.3257344251
664	0.3257282475
665	0.3257258301
666	0.325725002
667	0.3255241833
668	0.3255236237
669	0.3254440752
670	0.3254162309
671	0.3254158281
672	0.3254149327
673	0.3253633627
674	0.3253384283
675	0.3252969753
676	0.3252948489
677	0.3252946027
678	0.3252383994
679	0.3251636632
680	0.3250697001
681	0.3250691853
682	0.3250658503
683	0.3250653802
684	0.3250290977
685	0.3250289634
686	0.3250281576
687	0.3250264565
688	0.3250262774
689	0.3250258969
690	0.3249940238
691	0.3249754908
692	0.3249748865
693	0.3249741255
694	0.3249737226
695	0.3249736778
696	0.3249732749
697	0.3249713724
698	0.3249703428
699	0.3249694698
700	0.3249672539
701	0.3249661796
702	0.3249656871
703	0.3249476018
704	0.324947557
705	0.3249469079
706	0.3248349938
707	0.3248349715
708	0.3248348595
709	0.32483477
710	0.32483477
711	0.3248346581
712	0.3248159237
713	0.3248153865
714	0.3248152522
715	0.3247767537
716	0.3247763508
717	0.3247753884
718	0.3247753212
719	0.3247753436
720	0.3247752989
721	0.3247748288
722	0.324774605
723	0.3247738887
724	0.3247705761
725	0.3247705985
726	0.3247700389
727	0.324768875
728	0.3247689198
729	0.3247688526
730	0.3247687407
731	0.3247686512
732	0.3247683602
733	0.324767823
734	0.3247669501
735	0.3247646446
736	0.3247645327
737	0.3247640627
738	0.3247641298
739	0.3247635703
740	0.3247631002
741	0.3247630331
742	0.3247630555
743	0.3247612201
744	0.3247612424
745	0.3247598771
746	0.3247593847
747	0.3247444329
748	0.3246140754
749	0.324613583
750	0.3246132025
751	0.3246121952
752	0.32461177
753	0.3246090393
754	0.3245488071
755	0.3245301846
756	0.3245001692
757	0.3245000349
758	0.3245001021
759	0.3244258806
760	0.3244257911
761	0.3244256344
762	0.3244247615
763	0.3244239781
764	0.3244231499
765	0.3244228589
766	0.3244225904
767	0.3244224561
768	0.3244224561
769	0.3244223665
770	0.3244203968
771	0.3244203745
772	0.3244203521
773	0.3244203745
774	0.3244201954
775	0.3244183376
776	0.3244182705
777	0.3244179571
778	0.3244179347
779	0.3244178004
780	0.324417778
781	0.324417778
782	0.3244177557
783	0.3244177557
784	0.3244175318
785	0.3244175095
786	0.3243981259
787	0.3243979916
788	0.3243979245
789	0.3243977902
790	0.3243974321
791	0.3243791005
792	0.3243791677
793	0.3243791453
794	0.3243791229
795	0.324378429
796	0.3243783843
797	0.3243783843
798	0.3243783843
799	0.3243750045
800	0.3243746687
801	0.3243687149
802	0.3243687373
803	0.3242658435
804	0.324265642
805	0.3241880408
806	0.3241880408
807	0.3241879065
808	0.3241814155
809	0.3241814155
810	0.3241814155
811	0.3241814155
812	0.3241814155
