iter	Passed	Remaining
0	93	93005
1	185	92643
2	275	91646
3	365	91126
4	459	91539
5	557	92401
6	652	92623
7	737	91454
8	829	91352
9	920	91110
10	1011	90964
11	1103	90895
12	1190	90389
13	1277	89953
14	1371	90058
15	1460	89829
16	1561	90302
17	1653	90182
18	1743	90035
19	1834	89885
20	1925	89752
21	2015	89609
22	2106	89488
23	2196	89333
24	2291	89355
25	2377	89051
26	2465	88843
27	2555	88717
28	2645	88572
29	2736	88492
30	2833	88558
31	2929	88612
32	3016	88403
33	3104	88195
34	3191	88007
35	3279	87811
36	3365	87588
37	3460	87606
38	3547	87418
39	3642	87429
40	3733	87336
41	3815	87028
42	3907	86958
43	3995	86820
44	4080	86588
45	4170	86496
46	4258	86345
47	4352	86328
48	4436	86100
49	4517	85841
50	4611	85804
51	4698	85658
52	4787	85547
53	4871	85337
54	4954	85135
55	5038	84929
56	5123	84756
57	5214	84685
58	5304	84604
59	5383	84334
60	5472	84243
61	5557	84076
62	5603	83339
63	5683	83119
64	5770	83008
65	5854	82845
66	5939	82715
67	6016	82466
68	6099	82293
69	6181	82128
70	6265	81976
71	6318	81443
72	6400	81281
73	6443	80633
74	6525	80476
75	6611	80383
76	6687	80167
77	6760	79911
78	6848	79836
79	6931	79710
80	7014	79587
81	7066	79108
82	7153	79029
83	7246	79024
84	7331	78924
85	7380	78436
86	7432	77995
87	7511	77849
88	7566	77453
89	7644	77296
90	7685	76769
91	7766	76652
92	7853	76595
93	7934	76478
94	7986	76085
95	8042	75736
96	8134	75726
97	8214	75607
98	8264	75218
99	8331	74981
100	8416	74915
101	8502	74858
102	8554	74501
103	8600	74097
104	8677	73968
105	8739	73712
106	8814	73561
107	8895	73467
108	8946	73130
109	8986	72710
110	9074	72681
111	9152	72565
112	9208	72281
113	9299	72272
114	9341	71891
115	9394	71590
116	9439	71242
117	9490	70936
118	9571	70862
119	9663	70862
120	9745	70793
121	9827	70723
122	9869	70372
123	9913	70035
124	9997	69979
125	10052	69729
126	10098	69413
127	10175	69317
128	10265	69312
129	10307	68983
130	10349	68653
131	10409	68453
132	10479	68311
133	10556	68224
134	10620	68050
135	10665	67754
136	10737	67637
137	10820	67589
138	10892	67471
139	10972	67400
140	11029	67193
141	11080	66952
142	11123	66661
143	11165	66370
144	11237	66261
145	11318	66208
146	11361	65928
147	11440	65859
148	11500	65682
149	11546	65430
150	11625	65367
151	11702	65285
152	11748	65039
153	11798	64814
154	11889	64814
155	11969	64758
156	12019	64535
157	12069	64321
158	12157	64304
159	12234	64230
160	12314	64173
161	12366	63970
162	12449	63928
163	12502	63731
164	12561	63570
165	12646	63535
166	12730	63500
167	12781	63299
168	12863	63250
169	12942	63192
170	12991	62983
171	13071	62925
172	13121	62726
173	13175	62547
174	13263	62526
175	13309	62310
176	13384	62232
177	13426	62003
178	13469	61777
179	13510	61546
180	13589	61490
181	13628	61253
182	13673	61044
183	13756	61006
184	13839	60968
185	13921	60925
186	13993	60839
187	14076	60799
188	14153	60733
189	14227	60653
190	14273	60455
191	14347	60378
192	14410	60257
193	14463	60092
194	14511	59907
195	14597	59878
196	14639	59673
197	14719	59623
198	14765	59434
199	14809	59239
200	14860	59074
201	14938	59015
202	15019	58969
203	15065	58784
204	15151	58757
205	15194	58564
206	15237	58374
207	15320	58334
208	15362	58143
209	15442	58092
210	15482	57892
211	15528	57720
212	15572	57537
213	15618	57365
214	15659	57177
215	15737	57122
216	15827	57110
217	15872	56937
218	15949	56880
219	15997	56720
220	16077	56672
221	16123	56504
222	16206	56467
223	16249	56293
224	16348	56311
225	16395	56150
226	16446	56006
227	16498	55863
228	16550	55722
229	16597	55565
230	16642	55402
231	16737	55407
232	16787	55262
233	16854	55173
234	16909	55044
235	16985	54986
236	17078	54983
237	17128	54839
238	17174	54686
239	17217	54523
240	17257	54351
241	17307	54211
242	17350	54050
243	17401	53917
244	17464	53817
245	17515	53686
246	17572	53570
247	17624	53443
248	17669	53293
249	17754	53264
250	17801	53120
251	17874	53057
252	17941	52974
253	18017	52917
254	18094	52863
255	18171	52811
256	18250	52762
257	18309	52658
258	18356	52519
259	18439	52481
260	18516	52426
261	18562	52287
262	18620	52179
263	18699	52133
264	18785	52104
265	18846	52004
266	18888	51856
267	18937	51724
268	18983	51586
269	19032	51458
270	19086	51342
271	19157	51273
272	19231	51212
273	19276	51074
274	19356	51031
275	19430	50970
276	19477	50838
277	19524	50707
278	19570	50574
279	19646	50520
280	19687	50373
281	19768	50331
282	19845	50279
283	19919	50220
284	19998	50171
285	20046	50045
286	20129	50007
287	20207	49956
288	20286	49908
289	20363	49855
290	20452	49831
291	20527	49772
292	20604	49718
293	20652	49592
294	20731	49543
295	20776	49413
296	20822	49286
297	20864	49150
298	20907	49016
299	20992	48983
300	21075	48941
301	21154	48893
302	21214	48800
303	21293	48751
304	21372	48702
305	21419	48579
306	21506	48547
307	21596	48522
308	21685	48493
309	21760	48434
310	21808	48315
311	21885	48261
312	21947	48173
313	22024	48117
314	22101	48062
315	22145	47935
316	22225	47886
317	22307	47840
318	22380	47778
319	22457	47721
320	22507	47609
321	22595	47576
322	22657	47489
323	22707	47377
324	22786	47326
325	22869	47282
326	22948	47230
327	23028	47180
328	23078	47069
329	23134	46969
330	23213	46918
331	23294	46869
332	23381	46832
333	23464	46788
334	23545	46738
335	23619	46676
336	23668	46564
337	23740	46498
338	23788	46383
339	23874	46344
340	23945	46276
341	23989	46155
342	24030	46028
343	24106	45970
344	24183	45913
345	24265	45865
346	24309	45747
347	24354	45629
348	24427	45565
349	24500	45500
350	24546	45387
351	24622	45327
352	24703	45278
353	24753	45170
354	24828	45111
355	24872	44993
356	24916	44876
357	24989	44812
358	25059	44743
359	25101	44624
360	25148	44515
361	25198	44410
362	25241	44293
363	25313	44228
364	25388	44168
365	25450	44086
366	25496	43976
367	25572	43917
368	25648	43859
369	25695	43751
370	25741	43643
371	25823	43594
372	25865	43478
373	25907	43364
374	25984	43307
375	26026	43193
376	26102	43134
377	26181	43081
378	26260	43028
379	26336	42970
380	26387	42870
381	26436	42768
382	26518	42720
383	26605	42679
384	26648	42568
385	26723	42508
386	26801	42452
387	26880	42399
388	26955	42339
389	27004	42237
390	27077	42174
391	27150	42110
392	27229	42056
393	27277	41954
394	27358	41903
395	27431	41839
396	27476	41733
397	27551	41673
398	27598	41571
399	27640	41460
400	27714	41398
401	27801	41356
402	27876	41295
403	27949	41233
404	28023	41170
405	28065	41061
406	28110	40957
407	28153	40849
408	28228	40789
409	28300	40725
410	28343	40619
411	28386	40513
412	28429	40406
413	28503	40346
414	28588	40299
415	28632	40195
416	28675	40090
417	28721	39990
418	28799	39933
419	28844	39833
420	28918	39771
421	28991	39709
422	29076	39661
423	29161	39615
424	29203	39511
425	29276	39447
426	29351	39386
427	29426	39326
428	29469	39223
429	29512	39121
430	29596	39073
431	29639	38970
432	29711	38906
433	29755	38805
434	29801	38708
435	29846	38609
436	29920	38547
437	29995	38487
438	30071	38427
439	30151	38374
440	30228	38317
441	30270	38214
442	30313	38113
443	30391	38058
